nama_produk,kategori,username,rating,ulasan,tanggal
POCO C71,handphone,J***i,4,"barang diterima dengan baik, cukup lah untuk orang tua",9 bulan lalu
POCO C71,handphone,Selvia,4,"Produknya bagus bagus aja kualitas sesuai harga, yg gak bagus jasa kirimnya lemot bgt 2 minggu lebih baru nyampe rumah, CS nya juga kureng gak fast respon, udah chat seja...",1 minggu lalu
POCO C71,handphone,I***m,4,paket sudah sampai. terima kasih.,8 bulan lalu
POCO C71,handphone,A***a,4,oke sesuai terimakasih,9 bulan lalu
POCO C71,handphone,z***l,4,bagus,3 minggu lalu
POCO C71,handphone,Mohsahruel,4,sebadan dengan harga lumayan cuma dari kamera kurng bagus,6 bulan lalu
POCO C71,handphone,Reynardi,4,"Sering ngelag hpnya setelah beberapa bulan pemakaian padahal pemakaian normal, memory masih kosong banyak",2 bulan lalu
POCO C71,handphone,S***o,4,awal sempet jengkel karena pengiriman yg biasanya bisa 2-3hari jadi 5 hari karena keterlambatan pengiriman tp terbayar setelah hp datang cukup memuaskan dgn hrga sejutaan...,11 bulan lalu
POCO C71,handphone,Eddy,4,mantap barang original segel packing aman,11 bulan lalu
POCO C71,handphone,Riyanto,4,mantap sesuai barang ori pengiriman agak lama,9 bulan lalu
POCO C71,handphone,s***o,4,"masih tersegel baik, udah sempet record. tapi yasudahlah yaa ipong memori penuh mulu ilang tiba² videonya wkwk-_- untung lah ada hp android ini penyelamat memori",11 bulan lalu
POCO C71,handphone,F***i,4,barang nya oke tapi pengiriman nya luaaama,12 bulan lalu
POCO C71,handphone,F***a,4,pengiriman dr kurir super lama poolll..,7 bulan lalu
POCO C71,handphone,Nur,4,Barang mendarat dengan selamat baguss,12 bulan lalu
POCO C71,handphone,Zain,4,mendarat dengan cepat dan mulus,7 bulan lalu
POCO C71,handphone,AULIA,4,Ada harga ada rupa 🥲,11 bulan lalu
POCO C71,handphone,f***y,4,pengiriman lama,11 bulan lalu
POCO C71,handphone,M***o,4,jos,11 bulan lalu
POCO C71,handphone,Christopher,3,Terima kasih Xiaomi. Sesuai pesanan. Kelengkapan dan kualitas diterima baik. Masalahnya pengiriman telat 1 hari dari yang dijaminkan. total 4 hari pengiriman. Sisanya fot...,Lebih dari 1 tahun lalu
POCO C71,handphone,Hendryk,3,yang dipesan gold yang datang abu abu...barang bagus cuma pelayanannya kurang teliti..,Lebih dari 1 tahun lalu
POCO C71,handphone,Nur,3,"parah ninja express lama banget, saya konplen keras terhadap pengiriman/ekspedisi ini ga sesuai tenggat waktu yang dijanjikan",9 bulan lalu
POCO C71,handphone,d***i,3,"PENGIRIMAN LAMBAT, SEMOGA MEREVIEW PIHAK EKPEDISI YANG DI PAKAI UNTUK PENGIRMAN NYA",8 bulan lalu
